Country of asylum,Year,International total
Afghanistan,2017,76142
Afghanistan,2018,72509
Afghanistan,2019,72474
Afghanistan,2020,72445
Afghanistan,2021,67200
Afghanistan,2022,59781
Albania,2017,156
Albania,2018,291
Albania,2019,125
Albania,2020,105
Albania,2021,115
Albania,2022,2312
Algeria,2017,100601
Algeria,2018,103251
Algeria,2019,100246
Algeria,2020,99775
Algeria,2021,100020
Algeria,2022,101820
Angola,2017,71250
Angola,2018,69984
Angola,2019,55971
Angola,2020,56069
Angola,2021,56324
Angola,2022,56426
Anguilla,2019,0
Anguilla,2020,0
Anguilla,2021,0
Anguilla,2022,0
Antigua and Barbuda,2022,0
Argentina,2017,6781
Argentina,2018,8870
Argentina,2019,11150
Argentina,2020,12457
Argentina,2021,14387
Argentina,2022,14602
Armenia,2017,18030
Armenia,2018,18071
Armenia,2019,18138
Armenia,2020,108046
Armenia,2021,34909
Armenia,2022,34669
Aruba,2017,147
Aruba,2018,407
Aruba,2019,406
Aruba,2020,0
Aruba,2021,0
Aruba,2022,0
Australia,2017,91143
Australia,2018,110434
Australia,2019,128817
Australia,2020,131620
Australia,2021,130767
Australia,2022,130818
Austria,2017,165141
Austria,2018,159468
Austria,2019,155847
Austria,2020,155513
Austria,2021,172786
Austria,2022,260233
Azerbaijan,2017,1244
Azerbaijan,2018,1339
Azerbaijan,2019,1290
Azerbaijan,2020,1620
Azerbaijan,2021,1710
Azerbaijan,2022,6587
Bahamas,2017,23
Bahamas,2018,38
Bahamas,2019,23
Bahamas,2020,28
Bahamas,2021,23
Bahamas,2022,10
Bahrain,2017,366
Bahrain,2018,320
Bahrain,2019,309
Bahrain,2020,360
Bahrain,2021,446
Bahrain,2022,449
Bangladesh,2017,932324
Bangladesh,2018,906679
Bangladesh,2019,854813
Bangladesh,2020,866552
Bangladesh,2021,918955
Bangladesh,2022,929708
Barbados,2018,5
Barbados,2019,10
Barbados,2020,5
Barbados,2021,10
Belarus,2017,2428
Belarus,2018,2409
Belarus,2019,2856
Belarus,2020,3043
Belarus,2021,2843
Belarus,2022,13327
Belgium,2017,52955
Belgium,2018,53745
Belgium,2019,65381
Belgium,2020,86819
Belgium,2021,95189
Belgium,2022,140143
Belize,2017,3110
Belize,2018,3334
Belize,2019,2173
Belize,2020,2278
Belize,2021,2101
Belize,2022,2160
Benin,2017,1318
Benin,2018,1475
Benin,2019,1611
Benin,2020,1860
Benin,2021,2242
Benin,2022,2342
Bolivia (Plurinational State of),2017,836
Bolivia (Plurinational State of),2018,836
Bolivia (Plurinational State of),2019,1105
Bolivia (Plurinational State of),2020,1273
Bolivia (Plurinational State of),2021,1143
Bolivia (Plurinational State of),2022,1143
Bosnia and Herzegovina,2017,5447
Bosnia and Herzegovina,2018,6230
Bosnia and Herzegovina,2019,5966
Bosnia and Herzegovina,2020,5488
Bosnia and Herzegovina,2021,390
Bosnia and Herzegovina,2022,483
Botswana,2017,2181
Botswana,2018,2312
Botswana,2019,1263
Botswana,2020,1039
Botswana,2021,746
Botswana,2022,812
Brazil,2017,95948
Brazil,2018,163912
Brazil,2019,240073
Brazil,2020,261688
Brazil,2021,261126
Brazil,2022,267607
Bulgaria,2017,20881
Bulgaria,2018,20460
Bulgaria,2019,20466
Bulgaria,2020,22026
Bulgaria,2021,29339
Bulgaria,2022,153989
Burkina Faso,2017,24195
Burkina Faso,2018,25160
Burkina Faso,2019,25898
Burkina Faso,2020,20282
Burkina Faso,2021,34423
Burkina Faso,2022,34569
Burundi,2017,65904
Burundi,2018,77159
Burundi,2019,87460
Burundi,2020,80375
Burundi,2021,85788
Burundi,2022,85858
Cambodia,2017,105
Cambodia,2019,27
Cambodia,2020,12
Cambodia,2021,36
Cambodia,2022,36
Cameroon,2017,343147
Cameroon,2018,388419
Cameroon,2019,416189
Cameroon,2020,443205
Cameroon,2021,465287
Cameroon,2022,483974
Canada,2017,155980
Canada,2018,190480
Canada,2019,188132
Canada,2020,178258
Canada,2021,172738
Canada,2022,119382
Cayman Islands,2017,57
Cayman Islands,2018,61
Cayman Islands,2019,48
Cayman Islands,2020,66
Cayman Islands,2021,87
Cayman Islands,2022,225
Central African Rep.,2017,10604
Central African Rep.,2018,7049
Central African Rep.,2019,7479
Central African Rep.,2020,9368
Central African Rep.,2021,10070
Central African Rep.,2022,11326
Chad,2017,412135
Chad,2018,454670
Chad,2019,446426
Chad,2020,483217
Chad,2021,560487
Chad,2022,585061
Chile,2017,9890
Chile,2018,13523
Chile,2019,10070
Chile,2020,9681
Chile,2021,11744
Chile,2022,12290
China,2017,322405
China,2018,322341
China,2019,304023
China,2020,304148
China,2021,304221
China,2022,1126
"China, Hong Kong SAR",2017,90
"China, Hong Kong SAR",2018,128
"China, Hong Kong SAR",2019,128
"China, Hong Kong SAR",2020,245
"China, Hong Kong SAR",2021,271
"China, Hong Kong SAR",2022,278
"China, Macao SAR",2017,5
Colombia,2017,785
Colombia,2018,3145
Colombia,2019,9610
Colombia,2020,20756
Colombia,2021,30419
Colombia,2022,28436
Comoros,2021,27
Comoros,2022,19
Congo,2017,55601
Congo,2018,46667
Congo,2019,40085
Congo,2020,40719
Congo,2021,54435
Congo,2022,54751
Costa Rica,2017,11706
Costa Rica,2018,36925
Costa Rica,2019,62298
Costa Rica,2020,59837
Costa Rica,2021,162731
Costa Rica,2022,215906
Cote d'Ivoire,2017,1927
Cote d'Ivoire,2018,2006
Cote d'Ivoire,2019,2171
Cote d'Ivoire,2020,2310
Cote d'Ivoire,2021,4478
Cote d'Ivoire,2022,5761
Croatia,2017,909
Croatia,2018,975
Croatia,2019,1360
Croatia,2020,1511
Croatia,2021,1571
Croatia,2022,17475
Cuba,2017,358
Cuba,2018,311
Cuba,2019,265
Cuba,2020,232
Cuba,2021,213
Cuba,2022,94
Curacao ,2017,803
Curacao ,2018,441
Curacao ,2019,387
Curacao ,2020,386
Curacao ,2021,0
Curacao ,2022,0
Cyprus,2017,14941
Cyprus,2018,21205
Cyprus,2019,31046
Cyprus,2020,33557
Cyprus,2021,41460
Cyprus,2022,63329
Czechia,2017,4120
Czechia,2018,2906
Czechia,2019,2701
Czechia,2020,2412
Czechia,2021,2365
Czechia,2022,388930
Dem. Rep. of the Congo,2017,537896
Dem. Rep. of the Congo,2018,534835
Dem. Rep. of the Congo,2019,526925
Dem. Rep. of the Congo,2020,491723
Dem. Rep. of the Congo,2021,526366
Dem. Rep. of the Congo,2022,518501
Denmark,2017,36463
Denmark,2018,36273
Denmark,2019,35907
Denmark,2020,34926
Denmark,2021,34553
Denmark,2022,63145
Djibouti,2017,26910
Djibouti,2018,28772
Djibouti,2019,30792
Djibouti,2020,32004
Djibouti,2021,34695
Djibouti,2022,35532
Dominican Rep.,2017,1444
Dominican Rep.,2018,491
Dominican Rep.,2019,725
Dominican Rep.,2020,787
Dominican Rep.,2021,804
Dominican Rep.,2022,1188
Ecuador,2017,59274
Ecuador,2018,68618
Ecuador,2019,129530
Ecuador,2020,130547
Ecuador,2021,63714
Ecuador,2022,70459
Egypt,2017,289194
Egypt,2018,314904
Egypt,2019,324690
Egypt,2020,329261
Egypt,2021,341073
Egypt,2022,359469
El Salvador,2017,45
El Salvador,2018,60
El Salvador,2019,77
El Salvador,2020,101
El Salvador,2021,164
El Salvador,2022,138
Eritrea,2017,2392
Eritrea,2018,2252
Eritrea,2019,199
Eritrea,2020,201
Eritrea,2021,121
Eritrea,2022,121
Estonia,2017,441
Estonia,2018,349
Estonia,2019,364
Estonia,2020,282
Estonia,2021,336
Estonia,2022,28764
Eswatini,2017,1334
Eswatini,2018,1613
Eswatini,2019,1903
Eswatini,2020,2049
Eswatini,2021,1541
Eswatini,2022,1809
Ethiopia,2017,892005
Ethiopia,2018,905362
Ethiopia,2019,734800
Ethiopia,2020,802355
Ethiopia,2021,823534
Ethiopia,2022,870046
Fiji,2017,17
Fiji,2018,17
Fiji,2019,22
Fiji,2020,19
Fiji,2021,18
Fiji,2022,12
Finland,2017,23287
Finland,2018,24904
Finland,2019,30988
Finland,2020,29047
Finland,2021,25854
Finland,2022,58101
France,2017,312026
France,2018,364177
France,2019,407032
France,2020,451786
France,2021,565173
France,2022,667010
Gabon,2017,850
Gabon,2018,768
Gabon,2019,530
Gabon,2020,547
Gabon,2021,325
Gabon,2022,304
Gambia,2017,8044
Gambia,2018,4376
Gambia,2019,4508
Gambia,2020,4585
Gambia,2021,4625
Gambia,2022,5451
Georgia,2017,2597
Georgia,2018,2636
Georgia,2019,2442
Georgia,2020,3016
Georgia,2021,2996
Georgia,2022,25122
Germany,2017,1348540
Germany,2018,1381390
Germany,2019,1402715
Germany,2020,1400629
Germany,2021,1452340
Germany,2022,2413425
Ghana,2017,13456
Ghana,2018,13208
Ghana,2019,13455
Ghana,2020,13917
Ghana,2021,13773
Ghana,2022,8524
Greece,2017,73912
Greece,2018,124993
Greece,2019,155960
Greece,2020,152054
Greece,2021,144812
Greece,2022,157638
Grenada,2020,0
Grenada,2021,0
Grenada,2022,0
Guatemala,2017,388
Guatemala,2018,631
Guatemala,2019,1039
Guatemala,2020,1226
Guatemala,2021,1949
Guatemala,2022,2083
Guinea,2017,5264
Guinea,2018,5872
Guinea,2019,6944
Guinea,2020,9572
Guinea,2021,5994
Guinea,2022,4397
Guinea-Bissau,2017,10146
Guinea-Bissau,2018,3802
Guinea-Bissau,2019,1876
Guinea-Bissau,2020,1876
Guinea-Bissau,2021,1876
Guinea-Bissau,2022,59
Guyana,2017,17
Guyana,2018,37
Guyana,2019,71
Guyana,2020,95
Guyana,2021,134
Guyana,2022,158
Haiti,2017,5
Haiti,2018,5
Haiti,2019,5
Haiti,2020,5
Honduras,2017,38
Honduras,2018,83
Honduras,2019,184
Honduras,2020,201
Honduras,2021,243
Honduras,2022,275
Hungary,2017,5327
Hungary,2018,5121
Hungary,2019,4984
Hungary,2020,4866
Hungary,2021,4683
Hungary,2022,30574
Iceland,2017,668
Iceland,2018,964
Iceland,2019,1237
Iceland,2020,1611
Iceland,2021,2104
Iceland,2022,3928
India,2017,207650
India,2018,207825
India,2019,189575
India,2020,206590
India,2021,225781
India,2022,249466
Indonesia,2017,13798
Indonesia,2018,13982
Indonesia,2019,13630
Indonesia,2020,13711
Indonesia,2021,13098
Indonesia,2022,13059
Iran (Islamic Rep. of),2017,979519
Iran (Islamic Rep. of),2018,979468
Iran (Islamic Rep. of),2019,979468
Iran (Islamic Rep. of),2020,800059
Iran (Islamic Rep. of),2021,798377
Iran (Islamic Rep. of),2022,840773
Iraq,2017,290703
Iraq,2018,297031
Iraq,2019,286924
Iraq,2020,283047
Iraq,2021,291580
Iraq,2022,301144
Ireland,2017,12055
Ireland,2018,13018
Ireland,2019,15107
Ireland,2020,15810
Ireland,2021,16089
Ireland,2022,61414
Israel,2017,55321
Israel,2018,53845
Israel,2019,54308
Israel,2020,34106
Israel,2021,28023
Israel,2022,26210
Italy,2017,352590
Italy,2018,293379
Italy,2019,252600
Italy,2020,179184
Italy,2021,193528
Italy,2022,351247
Jamaica,2017,21
Jamaica,2018,34
Jamaica,2019,5
Jamaica,2020,32
Jamaica,2021,36
Jamaica,2022,36
Japan,2017,32283
Japan,2018,1599
Japan,2019,1161
Japan,2020,794
Japan,2021,1170
Japan,2022,1170
Jordan,2017,734644
Jordan,2018,767658
Jordan,2019,744885
Jordan,2020,752084
Jordan,2021,759957
Jordan,2022,761740
Kazakhstan,2017,809
Kazakhstan,2018,758
Kazakhstan,2019,730
Kazakhstan,2020,663
Kazakhstan,2021,657
Kazakhstan,2022,992
Kenya,2017,488394
Kenya,2018,471701
Kenya,2019,489728
Kenya,2020,504832
Kenya,2021,540049
Kenya,2022,555162
Kuwait,2017,1561
Kuwait,2018,1654
Kuwait,2019,1765
Kuwait,2020,1786
Kuwait,2021,1805
Kuwait,2022,1792
Kyrgyzstan,2017,441
Kyrgyzstan,2018,434
Kyrgyzstan,2019,511
Kyrgyzstan,2020,677
Kyrgyzstan,2021,998
Kyrgyzstan,2022,1113
Latvia,2017,707
Latvia,2018,709
Latvia,2019,706
Latvia,2020,710
Latvia,2021,914
Latvia,2022,35251
Lebanon,2017,1014197
Lebanon,2018,966057
Lebanon,2019,928230
Lebanon,2020,880666
Lebanon,2021,854582
Lebanon,2022,844384
Lesotho,2017,83
Lesotho,2018,92
Lesotho,2019,221
Lesotho,2020,450
Lesotho,2021,522
Lesotho,2022,512
Liberia,2017,11139
Liberia,2018,9143
Liberia,2019,8236
Liberia,2020,18881
Liberia,2021,17987
Liberia,2022,4627
Libya,2017,45002
Libya,2018,56195
Libya,2019,45448
Libya,2020,44188
Libya,2021,39882
Libya,2022,39889
Liechtenstein,2017,243
Liechtenstein,2018,236
Liechtenstein,2019,154
Liechtenstein,2020,149
Liechtenstein,2021,155
Liechtenstein,2022,557
Lithuania,2017,1791
Lithuania,2018,1964
Lithuania,2019,2194
Lithuania,2020,1965
Lithuania,2021,1965
Lithuania,2022,49879
Luxembourg,2017,3459
Luxembourg,2018,3439
Luxembourg,2019,4248
Luxembourg,2020,6447
Luxembourg,2021,7625
Luxembourg,2022,11539
Madagascar,2017,96
Madagascar,2018,129
Madagascar,2019,241
Madagascar,2020,301
Madagascar,2021,287
Madagascar,2022,289
Malawi,2017,34964
Malawi,2018,36918
Malawi,2019,44380
Malawi,2020,48021
Malawi,2021,52433
Malawi,2022,54800
Malaysia,2017,151346
Malaysia,2018,163106
Malaysia,2019,179721
Malaysia,2020,179724
Malaysia,2021,181458
Malaysia,2022,186986
Mali,2017,17590
Mali,2018,27455
Mali,2019,27676
Mali,2020,48349
Mali,2021,50838
Mali,2022,53496
Malta,2017,8717
Malta,2018,9813
Malta,2019,11963
Malta,2020,12589
Malta,2021,12383
Malta,2022,13204
Mauritania,2017,78170
Mauritania,2018,84309
Mauritania,2019,86440
Mauritania,2020,95567
Mauritania,2021,105311
Mauritania,2022,118666
Mauritius,2017,5
Mauritius,2018,16
Mauritius,2019,25
Mauritius,2020,20
Mauritius,2021,10
Mauritius,2022,10
Mexico,2017,19350
Mexico,2018,40363
Mexico,2019,97968
Mexico,2020,129226
Mexico,2021,230598
Mexico,2022,264858
Monaco,2021,17
Monaco,2022,17
Mongolia,2017,10
Mongolia,2018,5
Mongolia,2019,5
Mongolia,2020,10
Mongolia,2021,5
Mongolia,2022,10
Montenegro,2017,967
Montenegro,2018,889
Montenegro,2019,1137
Montenegro,2020,359
Montenegro,2021,307
Montenegro,2022,9357
Morocco,2017,6753
Morocco,2018,7761
Morocco,2019,9721
Morocco,2020,13516
Morocco,2021,18228
Morocco,2022,18674
Mozambique,2017,23671
Mozambique,2018,26043
Mozambique,2019,25688
Mozambique,2020,27199
Mozambique,2021,29183
Mozambique,2022,28694
Myanmar,2017,0
Myanmar,2018,0
Myanmar,2019,0
Myanmar,2020,0
Myanmar,2021,0
Myanmar,2022,0
Namibia,2017,4071
Namibia,2018,3910
Namibia,2019,5088
Namibia,2020,5792
Namibia,2021,6480
Namibia,2022,6826
Nauru,2017,1025
Nauru,2018,1296
Nauru,2019,1107
Nauru,2020,1098
Nauru,2021,970
Nauru,2022,985
Nepal,2017,8106
Nepal,2018,7346
Nepal,2019,7087
Nepal,2020,7057
Nepal,2021,7171
Nepal,2022,7189
Netherlands,2017,100640
Netherlands,2018,104472
Netherlands,2019,105606
Netherlands,2020,101875
Netherlands,2021,110702
Netherlands,2022,210549
New Zealand,2017,1452
New Zealand,2018,1441
New Zealand,2019,1645
New Zealand,2020,1757
New Zealand,2021,1760
New Zealand,2022,1608
Nicaragua,2017,729
Nicaragua,2018,447
Nicaragua,2019,448
Nicaragua,2020,437
Nicaragua,2021,439
Nicaragua,2022,437
Niger,2017,166007
Niger,2018,178960
Niger,2019,217893
Niger,2020,236578
Niger,2021,266446
Niger,2022,291821
Nigeria,2017,10560
Nigeria,2018,35667
Nigeria,2019,55189
Nigeria,2020,68843
Nigeria,2021,78790
Nigeria,2022,84302
North Macedonia,2017,440
North Macedonia,2018,418
North Macedonia,2019,429
North Macedonia,2020,324
North Macedonia,2021,317
North Macedonia,2022,1445
Norway,2017,58627
Norway,2018,56152
Norway,2019,52642
Norway,2020,48216
Norway,2021,44926
Norway,2022,65572
Oman,2017,706
Oman,2018,564
Oman,2019,562
Oman,2020,638
Oman,2021,792
Oman,2022,788
Pakistan,2017,1396619
Pakistan,2018,1409178
Pakistan,2019,1428124
Pakistan,2020,1448734
Pakistan,2021,1504499
Pakistan,2022,1564283
Panama,2017,9706
Panama,2018,16103
Panama,2019,20209
Panama,2020,15454
Panama,2021,14172
Panama,2022,13821
Papua New Guinea,2017,9939
Papua New Guinea,2018,10094
Papua New Guinea,2019,9821
Papua New Guinea,2020,10884
Papua New Guinea,2021,11959
Papua New Guinea,2022,12113
Paraguay,2017,269
Paraguay,2018,610
Paraguay,2019,1694
Paraguay,2020,3138
Paraguay,2021,5344
Paraguay,2022,6067
Peru,2017,39511
Peru,2018,233346
Peru,2019,489884
Peru,2020,541804
Peru,2021,542815
Peru,2022,542899
Philippines,2017,711
Philippines,2018,856
Philippines,2019,987
Philippines,2020,1101
Philippines,2021,1374
Philippines,2022,1484
Poland,2017,15008
Poland,2018,15448
Poland,2019,17332
Poland,2020,6306
Poland,2021,8634
Poland,2022,1213953
Portugal,2017,1664
Portugal,2018,2190
Portugal,2019,3396
Portugal,2020,3520
Portugal,2021,4772
Portugal,2022,51471
Qatar,2017,311
Qatar,2018,280
Qatar,2019,301
Qatar,2020,444
Qatar,2021,507
Qatar,2022,508
Rep. of Korea,2017,11797
Rep. of Korea,2018,22717
Rep. of Korea,2019,28753
Rep. of Korea,2020,23510
Rep. of Korea,2021,15695
Rep. of Korea,2022,15695
Rep. of Moldova,2017,452
Rep. of Moldova,2018,502
Rep. of Moldova,2019,511
Rep. of Moldova,2020,464
Rep. of Moldova,2021,405
Rep. of Moldova,2022,87594
Romania,2017,5306
Romania,2018,5483
Romania,2019,4678
Romania,2020,5731
Romania,2021,5569
Romania,2022,88881
Russian Federation,2017,128155
Russian Federation,2018,78711
Russian Federation,2019,43807
Russian Federation,2020,21026
Russian Federation,2021,11374
Russian Federation,2022,1462999
Rwanda,2017,171429
Rwanda,2018,145782
Rwanda,2019,145547
Rwanda,2020,139956
Rwanda,2021,122289
Rwanda,2022,122230
Saint Kitts and Nevis,2017,5
Saint Kitts and Nevis,2018,5
Saint Kitts and Nevis,2019,5
Saint Kitts and Nevis,2020,0
Saint Kitts and Nevis,2021,0
Saint Kitts and Nevis,2022,0
Saint Vincent and the Grenadines,2019,0
Saint Vincent and the Grenadines,2020,0
Saint Vincent and the Grenadines,2021,0
Saint Vincent and the Grenadines,2022,0
Samoa,2017,5
Samoa,2018,5
Saudi Arabia,2017,235
Saudi Arabia,2018,2430
Saudi Arabia,2019,2642
Saudi Arabia,2020,9739
Saudi Arabia,2021,12757
Saudi Arabia,2022,13793
Senegal,2017,18014
Senegal,2018,16058
Senegal,2019,16258
Senegal,2020,16274
Senegal,2021,16524
Senegal,2022,12046
Serbia and Kosovo: S/RES/1244 (1999),2017,31155
Serbia and Kosovo: S/RES/1244 (1999),2018,30915
Serbia and Kosovo: S/RES/1244 (1999),2019,26696
Serbia and Kosovo: S/RES/1244 (1999),2020,26382
Serbia and Kosovo: S/RES/1244 (1999),2021,25862
Serbia and Kosovo: S/RES/1244 (1999),2022,26699
Sierra Leone,2017,678
Sierra Leone,2018,591
Sierra Leone,2019,441
Sierra Leone,2020,342
Sierra Leone,2021,345
Sierra Leone,2022,10
Sint Maarten (Dutch part),2017,5
Sint Maarten (Dutch part),2018,5
Sint Maarten (Dutch part),2019,10
Sint Maarten (Dutch part),2020,8
Sint Maarten (Dutch part),2021,41
Sint Maarten (Dutch part),2022,87
Slovakia,2017,903
Slovakia,2018,929
Slovakia,2019,961
Slovakia,2020,1041
Slovakia,2021,1080
Slovakia,2022,84925
Slovenia,2017,875
Slovenia,2018,985
Slovenia,2019,1049
Slovenia,2020,1100
Slovenia,2021,1411
Slovenia,2022,8544
Solomon Islands,2018,5
Solomon Islands,2021,0
Somalia,2017,29271
Somalia,2018,33099
Somalia,2019,35671
Somalia,2020,24449
Somalia,2021,30062
Somalia,2022,33293
South Africa,2017,276049
South Africa,2018,269779
South Africa,2019,266630
South Africa,2020,250185
South Africa,2021,242923
South Africa,2022,240077
South Sudan,2017,285300
South Sudan,2018,294373
South Sudan,2019,301986
South Sudan,2020,318201
South Sudan,2021,337987
South Sudan,2022,341376
Spain,2017,52277
Spain,2018,99010
Spain,2019,190708
Spain,2020,206932
Spain,2021,226282
Spain,2022,387725
Sri Lanka,2017,1449
Sri Lanka,2018,1540
Sri Lanka,2019,1402
Sri Lanka,2020,1232
Sri Lanka,2021,1108
Sri Lanka,2022,905
Sudan,2017,924755
Sudan,2018,1095866
Sudan,2019,1070099
Sudan,2020,1056220
Sudan,2021,1130537
Sudan,2022,1140899
Suriname,2017,101
Suriname,2018,247
Suriname,2019,1470
Suriname,2020,2007
Suriname,2021,2162
Suriname,2022,2486
Sweden,2017,267142
Sweden,2018,261288
Sweden,2019,257102
Sweden,2020,243184
Sweden,2021,231671
Sweden,2022,267890
Switzerland,2017,114349
Switzerland,2018,116309
Switzerland,2019,118863
Switzerland,2020,119892
Switzerland,2021,123545
Switzerland,2022,119269
Syrian Arab Rep.,2017,37518
Syrian Arab Rep.,2018,37448
Syrian Arab Rep.,2019,28273
Syrian Arab Rep.,2020,24068
Syrian Arab Rep.,2021,23068
Syrian Arab Rep.,2022,21772
Tajikistan,2017,2961
Tajikistan,2018,2969
Tajikistan,2019,5201
Tajikistan,2020,5986
Tajikistan,2021,13770
Tajikistan,2022,11267
Thailand,2017,106651
Thailand,2018,103168
Thailand,2019,98393
Thailand,2020,97031
Thailand,2021,101187
Thailand,2022,96989
Togo,2017,13169
Togo,2018,13029
Togo,2019,12656
Togo,2020,11458
Togo,2021,11493
Togo,2022,11205
Trinidad and Tobago,2017,2257
Trinidad and Tobago,2018,10721
Trinidad and Tobago,2019,19672
Trinidad and Tobago,2020,23105
Trinidad and Tobago,2021,25193
Trinidad and Tobago,2022,21971
Tunisia,2017,762
Tunisia,2018,1311
Tunisia,2019,3249
Tunisia,2020,6280
Tunisia,2021,9326
Tunisia,2022,9484
Turkmenistan,2017,22
Turkmenistan,2018,21
Turkmenistan,2019,21
Turkmenistan,2020,20
Turkmenistan,2021,16
Turkmenistan,2022,14
Turks and Caicos Islands,2017,5
Turks and Caicos Islands,2018,5
Turks and Caicos Islands,2019,5
Turks and Caicos Islands,2020,8
Turks and Caicos Islands,2021,7
Turks and Caicos Islands,2022,7
Türkiye,2017,3788917
Türkiye,2018,3993113
Türkiye,2019,3896066
Türkiye,2020,3964011
Türkiye,2021,4054587
Türkiye,2022,3954842
Uganda,2017,1395130
Uganda,2018,1190915
Uganda,2019,1381116
Uganda,2020,1446369
Uganda,2021,1573291
Uganda,2022,1529272
Ukraine,2017,9394
Ukraine,2018,8940
Ukraine,2019,4492
Ukraine,2020,4546
Ukraine,2021,5044
Ukraine,2022,3613
United Arab Emirates,2017,2766
United Arab Emirates,2018,7667
United Arab Emirates,2019,8508
United Arab Emirates,2020,8544
United Arab Emirates,2021,8558
United Arab Emirates,2022,8557
United Kingdom of Great Britain and Northern Ireland,2017,145778
United Kingdom of Great Britain and Northern Ireland,2018,155625
United Kingdom of Great Britain and Northern Ireland,2019,178935
United Kingdom of Great Britain and Northern Ireland,2020,195961
United Kingdom of Great Britain and Northern Ireland,2021,234913
United Kingdom of Great Britain and Northern Ireland,2022,351648
United Rep. of Tanzania,2017,352286
United Rep. of Tanzania,2018,317569
United Rep. of Tanzania,2019,271725
United Rep. of Tanzania,2020,263393
United Rep. of Tanzania,2021,234870
United Rep. of Tanzania,2022,236566
United States of America,2017,921284
United States of America,2018,1022784
United States of America,2019,1180366
United States of America,2020,1328907
United States of America,2021,1631739
United States of America,2022,1776421
Uruguay,2017,2423
Uruguay,2018,6783
Uruguay,2019,14240
Uruguay,2020,11295
Uruguay,2021,14396
Uruguay,2022,14091
Uzbekistan,2017,20
Uzbekistan,2018,13
Uzbekistan,2019,13
Uzbekistan,2020,13
Uzbekistan,2021,13032
Uzbekistan,2022,13031
Vanuatu,2021,5
Venezuela (Bolivarian Republic of),2017,123708
Venezuela (Bolivarian Republic of),2018,67425
Venezuela (Bolivarian Republic of),2019,67798
Venezuela (Bolivarian Republic of),2020,68373
Venezuela (Bolivarian Republic of),2021,39844
Venezuela (Bolivarian Republic of),2022,40390
Yemen,2017,280676
Yemen,2018,273164
Yemen,2019,279172
Yemen,2020,177599
Yemen,2021,102060
Yemen,2022,97318
Zambia,2017,45870
Zambia,2018,53106
Zambia,2019,62514
Zambia,2020,70292
Zambia,2021,79477
Zambia,2022,81829
Zimbabwe,2017,15958
Zimbabwe,2018,18002
Zimbabwe,2019,20488
Zimbabwe,2020,21190
Zimbabwe,2021,21434
Zimbabwe,2022,21779
